Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
1062,799.68,849259,449.45,477320,2.05,26.0,0.93,79.98
1059,799.92,847113,450.43,477004,2.05,26.06,0.93,79.99
1061,803.39,852400,448.52,475883,2.06,25.97,0.93,80.0
1056,797.44,842091,452.05,477363,2.05,25.99,0.94,80.0
1059,802.37,849710,449.43,475943,2.05,26.02,0.93,80.0
1068,792.22,846090,449.61,480181,2.03,26.01,0.93,79.99
1062,798.91,848440,449.18,477028,2.05,25.99,0.93,79.99
1061,798.78,847503,449.41,476820,2.05,26.01,0.93,79.99
1052,798.81,840349,452.7,476243,2.05,26.08,0.94,79.99
1054,797.27,840324,452.98,477439,2.05,26.03,0.94,79.99
1052,809.14,851215,448.85,472186,2.07,26.09,0.94,79.98
1054,802.81,846162,450.63,474962,2.06,26.0,0.94,80.0
1058,798.42,844727,451.14,477310,2.05,26.02,0.94,80.0
1068,795.4,849488,449.1,479644,2.04,26.0,0.93,79.98
1065,798.86,850790,448.04,477159,2.05,25.96,0.93,79.99
